target,period
TIC18636142,0.4315181
TIC186595806,0.3873824
TIC188594653,0.3741055
TIC190693377,0.3618034
TIC190863171,0.2043994
TIC193092806,0.1185081
TIC193537392,0.1647381
TIC193538686,0.4050058
TIC193545440,0.6369221
TIC193545446,0.6286265
TIC193553960,0.4140905
TIC193580427,0.394304
TIC193635719,0.4866178
TIC193728983,0.4549953
TIC193770329,0.3163093
TIC193823999,0.3698731
TIC1957912171,0.1185566
TIC196896001,0.6108151
TIC197183006,0.5663165
TIC197735761,0.601957
TIC197760286,0.6013042
TIC197933923,0.4901067
TIC198008281,0.1315587
TIC198051336,0.6419055
TIC1981434198,0.3062443
TIC198152578,0.4546775
TIC1981621672,0.2783084
TIC198280388,0.4884028
TIC198313291,0.3067214
TIC198354443,0.1534342
TIC198388252,0.395161
TIC198408416,0.3647341
TIC198410119,0.2938984
TIC198416591,0.3387332
TIC198457457,0.4034692
TIC198507944,0.3422844
TIC198560607,0.3701469
TIC199612934,0.6014874
TIC2003333263,0.220418
TIC200645730,0.2917217
TIC20072363,0.5160955
TIC200939418,0.5823027
TIC20095466,0.2118497
TIC201601338,0.4505807
TIC201776479,0.3671508
TIC201796819,0.2853729
TIC20212631,0.2971598
TIC202601061,0.6609503
TIC202839485,0.412856
TIC204325855,0.484342
TIC204327008,0.3232092
TIC2046417955,0.2358838
TIC206537272,0.4893306
TIC206544316,0.3219472
TIC206609630,0.3352714
TIC206912019,0.3572646
TIC207085748,0.3623789
TIC207091008,0.2460469
TIC207174531,0.6250975
TIC207384197,0.5353066
TIC207496306,0.3293302
TIC207504663,0.5882432
TIC21174723,0.2318808
TIC212377300,0.2830396
TIC213046690,0.2258437
TIC213067604,0.3219872
TIC21442712,0.349539
TIC215258019,0.46323
TIC21729403,0.405346
TIC218878052,0.5982113
TIC219107776,0.2099379
TIC219109908,0.4240272
TIC219145901,0.2729386
TIC219176881,0.4636711
TIC219203188,0.2319362
TIC219244444,0.3037035
TIC219328400,0.3390354
TIC219346326,0.4257389
TIC219738202,0.5790386
TIC219750638,0.4075024
TIC219765652,0.6659493
TIC219788401,0.1371852
TIC219843981,0.3016095
TIC219859691,0.4457637
TIC219900027,0.5152647
TIC22017780,0.3842047
TIC220397127,0.4795038
TIC22079739,0.6861425
